""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"OTU"	"row2"	"names"	"gs"	"abundance"	"sig"	"pch"
"1"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__[Paraprevotellaceae].g__[Prevotella].s__tannerae"	41.3271362915122	24.4153120757596	2.91475059239374	8.37646697438647	5.45401898557197e-17	3.43603196091034e-14	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__[Paraprevotellaceae]"	"g__[Prevotella]"	"s__tannerae"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__[Paraprevotellaceae].g__[Prevotella].s__tannerae"	"2714267"	"g__[Prevotella].s__tannerae"	0.00127877480899636	13.4639428051486	19
"2"	"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__.s__"	37.4643500193424	-24.1409961342836	2.96868992410044	-8.13186851826526	4.22723190051672e-16	1.33157804866277e-13	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylobacteriaceae"	"g__"	"s__"	"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__.s__"	"615514"	"g__.s__"	0.00408821389481638	12.87563337289	19
"3"	"k__Bacteria.p__OD1.c__SM2F11.o__.f__.g__.s__"	26.525101721653	-23.6725565481615	2.96884133838551	-7.97366846186363	1.54032407236839e-15	3.23468055197361e-13	"k__Bacteria"	"p__OD1"	"c__SM2F11"	"o__"	"f__"	"g__"	"s__"	"k__Bacteria.p__OD1.c__SM2F11.o__.f__.g__.s__"	"205209"	"g__.s__"	0.00190343894010513	12.4901686025889	19
"4"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.g__.s__"	6.86909149900579	-21.8450129911436	2.97032136741193	-7.35442744708039	1.91747219336103e-13	3.02001870454363e-11	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__"	"g__"	"s__"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.g__.s__"	"818603"	"g__.s__"	0.00378104160884499	10.5199903672233	19
"5"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__melaninogenica"	94.9129654065696	9.42235477713048	1.5263235975147	6.1732353430641	6.69065043081883e-10	8.43021954283172e-08	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotella"	"s__melaninogenica"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__melaninogenica"	"535359"	"g__Prevotella.s__melaninogenica"	0.00253049017262173	7.07416111517374	19
"6"	"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__"	94.0965240462939	10.6182218882876	1.73090586705721	6.13448835686258	8.54337004396765e-10	8.97053854616603e-08	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Atopobium"	"s__"	"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__"	"4451251"	"g__Atopobium.s__"	0.00299143026930399	7.04718148330961	19
"7"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__"	576.941532373462	9.51716959649412	1.55814280835452	6.10802138639958	1.00873839409671e-09	9.0786455468704e-08	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotella"	"s__"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__"	"851822"	"g__Prevotella.s__"	0.0144926626628338	7.04197893951828	19
"8"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Oribacterium.s__"	35.2030013633916	8.92655521995659	1.48609391516765	6.00672348419484	1.89309971462209e-09	1.49081602526489e-07	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Oribacterium"	"s__"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Oribacterium.s__"	"749837"	"g__Oribacterium.s__"	0.00275478345124124	6.82657594752089	19
"9"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__"	88.4291846216065	10.5284722563439	1.78517337692448	5.89773093887524	3.68534268862435e-09	2.57973988203705e-07	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Veillonellaceae"	"g__Veillonella"	"s__"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__"	"561537"	"g__Veillonella.s__"	0.00235622308118166	6.58842408221161	19
"10"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__"	127.692858028756	7.52180420737143	1.35430237804521	5.554006497595	2.79195096155381e-08	1.7589291057789e-06	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotella"	"s__"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__"	"530206"	"g__Prevotella.s__"	0.00422079875012158	5.75475166457295	19
"11"	"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia.s__"	99.487258372027	10.6964369472578	1.99463746453644	5.36259703200936	8.20338756867306e-08	4.69830378933093e-06	"k__Bacteria"	"p__Fusobacteria"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Leptotrichiaceae"	"g__Leptotrichia"	"s__"	"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia.s__"	"1927234"	"g__Leptotrichia.s__"	0.00348926489143027	5.32805890544589	19
"12"	"k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__"	64.510522026025	8.13227194319273	1.54495625918619	5.26375545899043	1.41142158950192e-07	7.4099633448851e-06	"k__Bacteria"	"p__Proteobacteria"	"c__Epsilonproteobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter"	"s__"	"k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__"	"300432"	"g__Campylobacter.s__"	0.00223178379285369	5.13018394035448	19
