""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"	"abundance"	"path"	"sig"	"pch"
"1"	"K00001"	1.10368870868433	3.08260188483831	3.51046089761602	0.878118849559535	0.379879224668993	NA	"K00001"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"	1.42105263157895	"K00001_Metabolism_Overview_ Degradation of aromatic compounds"	NA	19
"2"	"K00003"	4.54254725453077	5.12250332904567	1.70562015485532	3.00330839458226	0.00267061655559667	0.00668328537019268	"K00003"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	5.26315789473684	"K00003_Metabolism_Overview_ Biosynthesis of amino acids"	2.17500999450193	19
"3"	"K00004"	0.197539367753073	0.607353938488887	4.05050508844106	0.14994523527994	0.880807822537214	NA	"K00004"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"	0.263157894736842	"K00004_Metabolism_Carbohydrate metabolism_ Butanoate metabolism"	NA	19
"4"	"K00005"	2.104100912564	4.0123166122866	3.21465395948082	1.24813328677361	0.211982250061037	NA	"K00005"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"	2.52631578947368	"K00005_Metabolism_Carbohydrate metabolism_ Propanoate metabolism"	NA	19
"5"	"K00008"	0	NA	NA	NA	NA	NA	"K00008"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"	0	"K00008_Metabolism_Carbohydrate metabolism_ Pentose and glucuronate interconversions"	NA	19
"6"	"K00009"	0	NA	NA	NA	NA	NA	"K00009"	"Metabolism"	"Carbohydrate metabolism"	" Fructose and mannose metabolism"	0	"K00009_Metabolism_Carbohydrate metabolism_ Fructose and mannose metabolism"	NA	19
"7"	"K00010"	0	NA	NA	NA	NA	NA	"K00010"	"Metabolism"	"Carbohydrate metabolism"	" Inositol phosphate metabolism"	0	"K00010_Metabolism_Carbohydrate metabolism_ Inositol phosphate metabolism"	NA	19
"8"	"K00012"	4.69843707901114	5.17098178210165	2.99035683749365	1.72921897389199	0.0837699117509382	0.102254245170961	"K00012"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"	5.47368421052632	"K00012_Metabolism_Carbohydrate metabolism_ Pentose and glucuronate interconversions"	0.990318652845784	19
"9"	"K00013"	0.535054775524754	2.03735548845277	4.0120349668701	0.507810999972957	0.611585894786831	NA	"K00013"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	0.631578947368421	"K00013_Metabolism_Overview_ Biosynthesis of amino acids"	NA	19
"10"	"K00014"	6.15047031865192	5.55936639288161	3.02052209051722	1.84053161217889	0.065690227570317	0.092339029109481	"K00014"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	6.89473684210526	"K00014_Metabolism_Overview_ Biosynthesis of amino acids"	1.03461469611162	19
"11"	"K00016"	3.92519326012887	4.91162954609839	2.07541779212301	2.36657388441974	0.0179535903251955	0.0360162105511512	"K00016"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"	4.52631578947368	"K00016_Metabolism_Carbohydrate metabolism_ Glycolysis / Gluconeogenesis"	1.44350198344596	19
"12"	"K00018"	1.85417521194922	3.82931950829672	3.28106259841314	1.16709736356409	0.243171052448355	NA	"K00018"	"Metabolism"	"Overview"	" Carbon metabolism"	2.05263157894737	"K00018_Metabolism_Overview_ Carbon metabolism"	NA	19
"13"	"K00020"	0.307716015163247	1.23498443533394	4.02897385326081	0.306525800442814	0.759204338714725	NA	"K00020"	"Metabolism"	"Amino acid metabolism"	" Valine, leucine and isoleucine degradation"	0.315789473684211	"K00020_Metabolism_Amino acid metabolism_ Valine, leucine and isoleucine degradation"	NA	19
"14"	"K00024"	6.10425356716393	5.5483054840247	1.16831691199599	4.74897301156567	2.04452221304508e-06	6.77632613086179e-06	"K00024"	"Metabolism"	"Overview"	" Carbon metabolism"	6.84210526315789	"K00024_Metabolism_Overview_ Carbon metabolism"	5.16900570045993	19
"15"	"K00027"	4.09003984450839	4.97093678255843	3.02041382339429	1.64578003982652	0.0998090531777121	0.108099204042746	"K00027"	"Metabolism"	"Overview"	" Carbon metabolism"	4.78947368421053	"K00027_Metabolism_Overview_ Carbon metabolism"	0.966177503836845	19
"16"	"K00029"	2.10632763471454	4.01285207021439	3.22069995226339	1.24595650935888	0.21278036217401	NA	"K00029"	"Metabolism"	"Overview"	" Carbon metabolism"	2.21052631578947	"K00029_Metabolism_Overview_ Carbon metabolism"	NA	19
"17"	"K00030"	0	NA	NA	NA	NA	NA	"K00030"	"Metabolism"	"Overview"	" Carbon metabolism"	0	"K00030_Metabolism_Overview_ Carbon metabolism"	NA	19
"18"	"K00031"	0.160924884967579	0.294308401645507	4.06522526280734	0.0723965789394571	0.942286307263414	NA	"K00031"	"Metabolism"	"Overview"	" Carbon metabolism"	0.157894736842105	"K00031_Metabolism_Overview_ Carbon metabolism"	NA	19
"19"	"K00033"	3.75163806247545	4.84625114338646	2.19191953453237	2.21096215761423	0.0270384577022644	0.0510383077770363	"K00033"	"Metabolism"	"Overview"	" Carbon metabolism"	4.26315789473684	"K00033_Metabolism_Overview_ Carbon metabolism"	1.29210373348906	19
"20"	"K00036"	4.12034281153462	4.98164708116048	1.94839820790015	2.5567910404359	0.0105642656417811	0.0233166753919935	"K00036"	"Metabolism"	"Overview"	" Carbon metabolism"	4.73684210526316	"K00036_Metabolism_Overview_ Carbon metabolism"	1.63233337337457	19
"22"	"K00048"	2.39554150323324	4.19936030543087	3.09491694478092	1.35685718885362	0.174826591998423	NA	"K00048"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"	2.84210526315789	"K00048_Metabolism_Carbohydrate metabolism_ Glyoxylate and dicarboxylate metabolism"	NA	19
"23"	"K00052"	7.53101161909837	5.85125157225882	0.979496466330025	5.97373423324566	2.31883449223861e-09	1.02131776969265e-08	"K00052"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	8.47368421052632	"K00052_Metabolism_Overview_ -Oxocarboxylic acid metabolism"	7.99083911182839	19
"24"	"K00053"	11.6673535380304	6.48459677653498	0.804146381748153	8.06395069817757	7.38675588306216e-16	7.3202750801146e-15	"K00053"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"	13.7894736842105	"K00053_Metabolism_Overview_ -Oxocarboxylic acid metabolism"	14.1354725987871	19
"25"	"K00054"	3.81615841477252	4.87115815387785	2.15102646755432	2.26457378714464	0.0235388470036931	0.0453832633864978	"K00054"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Terpenoid backbone biosynthesis"	4.47368421052632	"K00054_Metabolism_Metabolism of terpenoids and polyketides_ Terpenoid backbone biosynthesis"	1.34310427839839	19
"26"	"K00055"	0	NA	NA	NA	NA	NA	"K00055"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"	0	"K00055_Metabolism_Overview_ Degradation of aromatic compounds"	NA	19
"27"	"K00057"	10.8288164859968	6.37567873520002	0.806239451274408	7.90792205110045	2.61720594776459e-15	2.31575990556671e-14	"K00057"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	12.3157894736842	"K00057_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"	13.635306469596	19
"28"	"K00058"	4.02376790350002	4.94739657922677	2.0115745105822	2.45946473928767	0.0139144365334932	0.0292764471437192	"K00058"	"Metabolism"	"Overview"	" Carbon metabolism"	4.63157894736842	"K00058_Metabolism_Overview_ Carbon metabolism"	1.5334816284162	19
"29"	"K00059"	15.8069502172526	6.92161306875028	0.7654490651751	9.04255212221982	1.53055880136255e-19	5.26501648969445e-18	"K00059"	"Metabolism"	"Overview"	" Fatty acid metabolism"	18.1578947368421	"K00059_Metabolism_Overview_ Fatty acid metabolism"	17.2786002642939	19
"30"	"K00065"	0	NA	NA	NA	NA	NA	"K00065"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"	0	"K00065_Metabolism_Carbohydrate metabolism_ Pentose and glucuronate interconversions"	NA	19
"31"	"K00067"	4.27367244430356	5.0339426590915	1.85719920913688	2.71050226293764	0.00671813901266452	0.0154470435302797	"K00067"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Polyketide sugar unit biosynthesis"	4.73684210526316	"K00067_Metabolism_Metabolism of terpenoids and polyketides_ Polyketide sugar unit biosynthesis"	1.81115462959516	19
"32"	"K00068"	1.01376579663	2.95697082608803	3.93040791346043	0.752331791303728	0.4518515540379	NA	"K00068"	"Metabolism"	"Carbohydrate metabolism"	" Fructose and mannose metabolism"	1	"K00068_Metabolism_Carbohydrate metabolism_ Fructose and mannose metabolism"	NA	19
"33"	"K00073"	0	NA	NA	NA	NA	NA	"K00073"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	0	"K00073_Metabolism_Nucleotide metabolism_ Purine metabolism"	NA	19
