""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gs"	"ko"
"K00001|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	1.10368870868433	3.0827155452906	3.39520539568512	0.907961429729215	0.363898600063808	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00001"
"K00001|g__Streptococcus.s__Streptococcus_peroris"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_peroris"	"K00001"
"K00003|g__Atopobium.s__Atopobium_parvulum"	0.0395078735506145	-1.3760200689053	4.1594189582294	-0.33082026185	0.740780255101384	0.98373034632542	"g__Atopobium.s__Atopobium_parvulum"	"K00003"
"K00003|g__Campylobacter.s__Campylobacter_concisus"	0.276555114854302	1.09044285948501	4.03314645339565	0.270370261056831	0.786875416641319	0.98373034632542	"g__Campylobacter.s__Campylobacter_concisus"	"K00003"
"K00003|g__Rothia.s__Rothia_dentocariosa"	0	NA	NA	NA	NA	NA	"g__Rothia.s__Rothia_dentocariosa"	"K00003"
"K00003|g__Rothia.s__Rothia_mucilaginosa"	0.337515407771681	1.3710114367982	4.02540741356591	0.340589484725892	0.733412646626288	0.98373034632542	"g__Rothia.s__Rothia_mucilaginosa"	"K00003"
"K00003|g__Streptococcus.s__Streptococcus_cristatus"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_cristatus"	"K00003"
"K00003|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00003"
"K00003|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	2.47391902269844	4.2455886130352	3.09147919445158	1.37331948429572	0.16965304795482	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00003"
"K00003|g__Streptococcus.s__Streptococcus_oligofermentans"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_oligofermentans"	"K00003"
"K00003|g__Streptococcus.s__Streptococcus_parasanguinis"	0.878243471419673	2.75222917576081	3.42651717021175	0.803214762700499	0.421850614219995	0.98373034632542	"g__Streptococcus.s__Streptococcus_parasanguinis"	"K00003"
"K00003|g__Streptococcus.s__Streptococcus_sanguinis"	0.268208141612632	1.03473610691332	4.03486819505264	0.256448552193617	0.797604501714527	0.98373034632542	"g__Streptococcus.s__Streptococcus_sanguinis"	"K00003"
"K00003|g__Streptococcus.s__Streptococcus_tigurinus"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_tigurinus"	"K00003"
"K00004|g__Rothia.s__Rothia_mucilaginosa"	0.197539367753073	0.607353938488887	4.05050508844106	0.14994523527994	0.880807822537214	0.98373034632542	"g__Rothia.s__Rothia_mucilaginosa"	"K00004"
"K00005|g__Atopobium.s__Atopobium_parvulum"	0.293972341402124	1.17605927459471	4.03062513854568	0.29178086132293	0.770454179261232	0.98373034632542	"g__Atopobium.s__Atopobium_parvulum"	"K00005"
"K00005|g__Atopobium.s__Atopobium_rimae"	0.079015747101229	-0.701721957452983	4.13922259323139	-0.16952989157927	0.865379862550003	0.98373034632542	"g__Atopobium.s__Atopobium_rimae"	"K00005"
"K00005|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00005"
"K00005|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	0.175448720750281	0.43135749059959	4.05839349986471	0.106287744304235	0.915354055136158	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00005"
"K00005|g__Streptococcus.s__Streptococcus_parasanguinis"	0.793050861777412	2.60562863557071	3.87795726386624	0.671907516838634	0.501642574720466	0.98373034632542	"g__Streptococcus.s__Streptococcus_parasanguinis"	"K00005"
"K00005|g__Streptococcus.s__Streptococcus_salivarius"	0.25407438684072	0.958275527736459	4.03734090570827	0.237353136660217	0.812382842505722	0.98373034632542	"g__Streptococcus.s__Streptococcus_salivarius"	"K00005"
"K00005|g__Streptococcus.s__Streptococcus_sanguinis"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_sanguinis"	"K00005"
"K00005|g__Veillonella.s__Veillonella_dispar"	0.42081449431709	1.68962889895062	3.82777509458114	0.441412793908025	0.65891418172323	0.98373034632542	"g__Veillonella.s__Veillonella_dispar"	"K00005"
"K00005|g__Veillonella.s__Veillonella_parvula"	0.0482164868245259	-1.37602006890531	4.1594189582294	-0.33082026185	0.740780255101383	0.98373034632542	"g__Veillonella.s__Veillonella_parvula"	"K00005"
"K00009|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00009"
"K00010|g__Haemophilus.s__Haemophilus_parainfluenzae"	0	NA	NA	NA	NA	NA	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00010"
"K00012|g__Campylobacter.s__Campylobacter_concisus"	0.34218882822665	1.39413927617736	4.02483346571736	0.346384338147734	0.729053893803325	0.98373034632542	"g__Campylobacter.s__Campylobacter_concisus"	"K00012"
"K00012|g__Porphyromonas.s__Porphyromonas_gingivalis"	0	NA	NA	NA	NA	NA	"g__Porphyromonas.s__Porphyromonas_gingivalis"	"K00012"
"K00012|g__Prevotella.s__Prevotella_histicola"	1.12767287878397	3.11321215626453	3.71798359858344	0.837338862239918	0.402402120652101	0.98373034632542	"g__Prevotella.s__Prevotella_histicola"	"K00012"
"K00012|g__Prevotella.s__Prevotella_melaninogenica"	0.41285760208621	1.65991992007498	4.01885260485233	0.413033291659117	0.679582222494934	0.98373034632542	"g__Prevotella.s__Prevotella_melaninogenica"	"K00012"
"K00012|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00012"
"K00012|g__Veillonella.s__Veillonella_dispar"	0.476987873372495	1.87207507703434	4.0148039109627	0.466293029137118	0.641005767740083	0.98373034632542	"g__Veillonella.s__Veillonella_dispar"	"K00012"
"K00012|g__Veillonella.s__Veillonella_parvula"	0.144649460473578	0.147680268418433	4.07327435662149	0.0362559099851364	0.971078305541656	0.98373034632542	"g__Veillonella.s__Veillonella_parvula"	"K00012"
"K00013|g__Campylobacter.s__Campylobacter_concisus"	0	NA	NA	NA	NA	NA	"g__Campylobacter.s__Campylobacter_concisus"	"K00013"
"K00013|g__Haemophilus.s__Haemophilus_parainfluenzae"	0	NA	NA	NA	NA	NA	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00013"
"K00013|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00013"
"K00013|g__Streptococcus.s__Streptococcus_sanguinis"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_sanguinis"	"K00013"
"K00013|g__Veillonella.s__Veillonella_dispar"	0	NA	NA	NA	NA	NA	"g__Veillonella.s__Veillonella_dispar"	"K00013"
"K00013|g__Veillonella.s__Veillonella_parvula"	0.337515407771681	1.3710114367982	4.02540741356591	0.340589484725892	0.733412646626288	0.98373034632542	"g__Veillonella.s__Veillonella_parvula"	"K00013"
"K00014|g__Campylobacter.s__Campylobacter_concisus"	0	NA	NA	NA	NA	NA	"g__Campylobacter.s__Campylobacter_concisus"	"K00014"
"K00014|g__Haemophilus.s__Haemophilus_parainfluenzae"	1.26572695472718	3.27850527575737	3.30449578568346	0.992134803125278	0.321131771109741	0.98373034632542	"g__Haemophilus.s__Haemophilus_parainfluenzae"	"K00014"
"K00014|g__Porphyromonas.s__Porphyromonas_gingivalis"	0	NA	NA	NA	NA	NA	"g__Porphyromonas.s__Porphyromonas_gingivalis"	"K00014"
"K00014|g__Prevotella.s__Prevotella_melaninogenica"	0.425239768146822	1.70490692566031	4.01794404335246	0.424323212883219	0.671330112467266	0.98373034632542	"g__Prevotella.s__Prevotella_melaninogenica"	"K00014"
"K00014|g__Rothia.s__Rothia_dentocariosa"	0.192865947298104	0.563127139151363	4.05239930070035	0.138961414551138	0.889480639880394	0.98373034632542	"g__Rothia.s__Rothia_dentocariosa"	"K00014"
"K00014|g__Rothia.s__Rothia_mucilaginosa"	1.73465172362911	3.73311538606926	3.30829910277826	1.12840927319245	0.259147113295268	0.98373034632542	"g__Rothia.s__Rothia_mucilaginosa"	"K00014"
"K00014|g__Streptococcus.s__Streptococcus_cristatus"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_cristatus"	"K00014"
"K00014|g__Streptococcus.s__Streptococcus_gordonii"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_gordonii"	"K00014"
"K00014|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	1.96727369110307	3.91486169841344	3.2182908166102	1.21644124831979	0.223816878968375	0.98373034632542	"g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae"	"K00014"
"K00014|g__Streptococcus.s__Streptococcus_oligofermentans"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_oligofermentans"	"K00014"
"K00014|g__Streptococcus.s__Streptococcus_parasanguinis"	0	NA	NA	NA	NA	NA	"g__Streptococcus.s__Streptococcus_parasanguinis"	"K00014"
