""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"	"abundance"	"path"
"1"	"K00001"	0.221949765147188	1.45783071506845	4.57760867668399	0.318469930051884	0.750128500535122	1	"K00001"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"	0.588235294117647	"K00001_Metabolism_Overview_ Degradation of aromatic compounds"
"2"	"K00003"	118.561567480718	3.81821079657211	3.01994269358843	1.26433220228929	0.206110815982478	1	"K00003"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	165.411764705882	"K00003_Metabolism_Overview_ Biosynthesis of amino acids"
"3"	"K00004"	17.4455681636494	5.04562704192633	2.97164479010134	1.6979240112188	0.0895221047605348	1	"K00004"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"	32.1764705882353	"K00004_Metabolism_Carbohydrate metabolism_ Butanoate metabolism"
"4"	"K00005"	18.0418928032759	3.13714018582256	2.87219271807309	1.09224571390433	0.274725114233661	1	"K00005"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"	16.4117647058824	"K00005_Metabolism_Carbohydrate metabolism_ Propanoate metabolism"
"5"	"K00006"	1.27885233650776	-3.5715204726562	4.72906781914602	-0.755227162993224	0.450112693145375	1	"K00006"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"	0.705882352941177	"K00006_Metabolism_Lipid metabolism_ Glycerophospholipid metabolism"
"6"	"K00008"	1.22922277511287	-3.47546655946097	4.73023559641952	-0.734734346443901	0.462501298295735	1	"K00008"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"	0.352941176470588	"K00008_Metabolism_Carbohydrate metabolism_ Pentose and glucuronate interconversions"
"7"	"K00009"	0.102435231259406	-2.3336443225581	4.73374986658587	-0.492980066190358	0.622026672283503	1	"K00009"	"Metabolism"	"Carbohydrate metabolism"	" Fructose and mannose metabolism"	0.0588235294117647	"K00009_Metabolism_Carbohydrate metabolism_ Fructose and mannose metabolism"
"8"	"K00010"	0.0665849295441564	0.00420073512953708	4.64926428379951	0.000903526853522751	0.99927908997139	1	"K00010"	"Metabolism"	"Carbohydrate metabolism"	" Inositol phosphate metabolism"	0.176470588235294	"K00010_Metabolism_Carbohydrate metabolism_ Inositol phosphate metabolism"
"9"	"K00012"	1.71623638275338	-3.79467564464862	4.59647907837048	-0.825561387302972	0.409052946348358	1	"K00012"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"	0.470588235294118	"K00012_Metabolism_Carbohydrate metabolism_ Pentose and glucuronate interconversions"
"10"	"K00013"	5.42183606129272	2.35217206505855	3.14689241786372	0.747458683908659	0.454786733459212	1	"K00013"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	4.11764705882353	"K00013_Metabolism_Overview_ Biosynthesis of amino acids"
"11"	"K00014"	63.6257657089032	4.87355372225919	2.96776451977479	1.64216321402381	0.100556183992807	1	"K00014"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"	101.588235294118	"K00014_Metabolism_Overview_ Biosynthesis of amino acids"
"12"	"K00015"	0	NA	NA	NA	NA	NA	"K00015"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"	0	"K00015_Metabolism_Carbohydrate metabolism_ Glyoxylate and dicarboxylate metabolism"
"13"	"K00016"	365.889083114126	5.09014664587758	2.74299614529217	1.85568858877686	0.0634979582546502	1	"K00016"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"	627.941176470588	"K00016_Metabolism_Carbohydrate metabolism_ Glycolysis / Gluconeogenesis"
"14"	"K00018"	0.244144741661907	1.59244910193332	4.57158874042487	0.348336036409374	0.727587833327468	1	"K00018"	"Metabolism"	"Overview"	" Carbon metabolism"	0.647058823529412	"K00018_Metabolism_Overview_ Carbon metabolism"
