Kegg	SmNV.0016.BronchSup	SmNV.0016.BAL.L.untouched	COPD.0021.BronchSup	COPD.0021.BAL.R.untouched	SmNV.0023.BronchSup	SmNV.0023.BAL.R.Untouched	SmNV.0027.Oral	SmNV.0027.BAL.L.untouched	COPD.0030.BronchSup	COPD.0030.BAL.L.untouched	SmNV.0032.Oral	SmNV.0032.BAL.R.untouched	COPD.0035.BAL.L.untouched	COPD.0035.BronchSup	COPD.0036.Oral	COPD.0036.BAL.L.Untouched	SmNV.0038.Oral	SmNV.0038.Bronch	SmNV.0038.BAL.L.untouched	SmNV.0039.Oral	SmNV.0039.BAL.L.untouched	SmNV.0005.BronchSup	SmNV.0005.BAL.L.untouched	COPD.0003.Oral	COPD.0003.BAL.L.untouched	SmNV.0008.BronchSup	SmNV.0008.BAL.L.untouched	COPD.0007.BronchSup	COPD.0007.BAL.L.untouched	SmNV.0009.Oral	SmNV.0009.BAL.L.untouched	SmNV.0004.BronchSup	SmNV.0004.BAL.L.untouched	COPD.0026.BronchSup	COPD.0026.BAL.R.untouched	COPD.0002.Bronch	COPD.0002.BronchSup	COPD.0002.BALF.L.untouched	COPD.0041.BronchSup	COPD.0041.BAL.L.untouched
UNMAPPED	401271	188235	453594	110836	5291451	140213	846335	42557	4367636	802579	1955823	171569	303902	1043498	652616	433143	3004454	65943	196451	2369919	138331	386108	254647	296981	211211	427388	114963	4343118	252704	1422731	260105	619249	244569	2300981	170798	187822	6523125	472252	1212510	223394
UNGROUPED	50780.642	9618.806	344883.598	8942.172	5353191.273	11244.363	983459.158	2890.881	4954897.814	460534.09	1736903.212	9110.661	164454.289	803638.805	587698.53	10485.708	4815707.596	848.808	12055.854	3326321.452	10927.331	323600.19	22051.829	347670.688	18769.537	583211.225	6434.047	5815522.47	18519.5	1450438.084	17747.546	324549.075	12294.034	1866437.533	16185.308	853	8265515.968	223998.234	689493.051	19211.191
UNGROUPED|g__Actinomyces.s__Actinomyces_graevenitzii	4645.104	0	1489.828	0	370644.646	0	62550.794	0	347628.145	21048.723	122494.306	0	4834.792	22091.87	23249.686	0	115973.627	0	0	46022.585	0	14477.872	0	0	0	0	0	75142.05	0	58724.504	0	6942.49	0	4659.008	0	0	147782.121	1652.124	14544.452	0
UNGROUPED|g__Actinomyces.s__Actinomyces_odontolyticus	0	0	0	0	51822.71	0	24842.729	0	177051.729	0	126533.956	0	0	16287.532	8476.012	0	238347.102	0	0	46437.085	0	0	0	0	0	0	0	154357.749	0	93925.546	0	0	0	35308.864	0	0	111389.807	6877.504	0	0
UNGROUPED|g__Actinomyces.s__Actinomyces_oris	0	0	0	0	8096.877	0	44312.236	0	0	0	0	0	0	0	4560.156	0	112175.979	0	0	33815.095	0	0	0	0	0	0	0	18700.032	0	45906.125	0	0	0	0	0	0	5889.635	0	0	0
UNGROUPED|g__Actinomyces.s__Actinomyces_sp_HPA0247	0	0	0	0	142240.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61267.446	0	0	0	0	0	110728.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Actinomyces.s__Actinomyces_sp_ICM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282035.526	0	208042.053	0	0	0	0	0	0	168874.022	0	0	0
UNGROUPED|g__Actinomyces.s__Actinomyces_viscosus	0	0	0	0	0	0	86090.57	0	0	0	10095.904	0	0	0	7298.635	0	88349.173	0	0	56862.697	0	0	0	11092.256	0	0	0	21801.091	0	37571.821	0	0	0	0	0	0	8020.635	0	0	0
UNGROUPED|g__Atopobium.s__Atopobium_parvulum	180.014	0	286.827	0	18007.839	0	2347.72	0	22002.267	891.223	5336.101	0	609.881	1418.365	1144.039	0	2216.738	0	0	19099.701	0	4021.436	0	0	0	5520.478	0	20446.802	0	3283.374	0	1146.578	0	866.817	0	0	66835.374	483.102	2111.795	0
UNGROUPED|g__Atopobium.s__Atopobium_rimae	0	0	0	0	25570.562	0	1550.993	0	31273.544	4995.028	0	0	0	5757.888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13578.894	0	0	0
