	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9	MOC 	NEG1	M11	M12	M13	M14	M15	M16	M17	M19	M20	NEG2
UNMAPPED	170487	1025337	250440	179638	3728681	793330	2247697	329162	791287	513138	2388688	2004	465236	110336	76953	453677	794129	302560	248172	22093	244805	123191
UNGROUPED	23689.567	4067896.005	64140.17	54647.677	8034880.176	2876060.264	9428693.302	931726.83	2994053.875	1853248.303	11661751.26	2138.876	1891019.318	11342.995	17770.544	143185.087	2218929.083	59587.204	63912.171	8682.273	39362.469	37819.927
UNGROUPED|g__Alphacryptovirus.s__Vicia_cryptic_virus	0	0	0	0	50.764	0	0	0	0	0	0	0	0	0	0	0	0	0	2.788	0	0	0
UNGROUPED|g__Gammaretrovirus.s__Murine_osteosarcoma_virus	0	0	0	0	58.57	0	0	0	0	0	0	0	0	0.32	2.988	0	0	0	0	0	0	0.328
UNGROUPED|g__Gammaretrovirus.s__Spleen_focus_forming_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.832	0	0	0	0	0	0
UNGROUPED|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964.31	0	0	0	0	0	0
UNGROUPED|g__Mastadenovirus.s__Human_adenovirus_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0	0	0	0	0
UNGROUPED|g__Mastadenovirus.s__Human_adenovirus_D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196	0	0	0	0	0.065	0
UNGROUPED|g__Narnavirus.s__Saccharomyces_20S_RNA_narnavirus	1.674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Potyvirus.s__Onion_yellow_dwarf_virus	0	0	0	0	0	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	10091.141	9862.814	18405.795	4779.832	0	4744.455	1091264.705	0	4655.813	0	0	0	5214.721	0	0	0	0	0
UNGROUPED|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	6980.169	0	0	0	0	0	0	0	0	0	0	0	16119.511	7592.427	4199.923	9145.077	0	2524.314	4588.003
UNGROUPED|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1506.965	621.047	0	0	0	0	493.447
UNGROUPED|g__Siphoviridae_noname.s__Staphylococcus_phage_PVL	0	1.385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1918.889	0	0	0	0	0	0
UNGROUPED|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	264778.802	0	0	1366302.278	267849.936	1393913.069	67645.156	175868.695	128654.693	5005943.345	0	188447.167	0	0	0	211437.29	0	0	0	0	0
UNGROUPED|g__Tobamovirus.s__Tomato_mosaic_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07
UNGROUPED|g__Veillonella.s__Veillonella_parvula	0	3605280.249	0	0	5950057.894	2485092.914	7653283.912	815802.132	2679888.665	1634796.031	5034952.749	0	1622649.788	0	0	0	1852476.392	1647.18	0	0	0	0
UNGROUPED|g__Viruses_noname.s__Chicory_yellow_mottle_virus_large_satellite_RNA	0	0	0	0	0	0.879	0.879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Viruses_noname.s__Tobacco_necrosis_satellite_virus	0	0	0	0	0	0	1.756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
