""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"	"path"
"1"	"K01990"	46.2317735621714	21.8813502883977	2.80802857865487	7.79242435590863	6.57355258886298e-15	1.05176841421808e-12	"K01990"	NA	NA	NA	"K01990_NA_NA_NA"
"2"	"K02911"	35.6155244300481	21.5139489203891	2.80041969115501	7.6824016729849	1.56133374978522e-14	1.24906699982818e-12	"K02911"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02911_Genetic Information Processing_Translation_ Ribosome"
"3"	"K02913"	56.8191010981046	22.1695269626558	2.96142127322951	7.48611052505857	7.09446579764571e-14	3.78371509207771e-12	"K02913"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02913_Genetic Information Processing_Translation_ Ribosome"
"4"	"K02954"	30.7288554810452	21.2917867902929	2.96218365187439	7.18786857689258	6.58105609904803e-13	2.10593795169537e-11	"K02954"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02954_Genetic Information Processing_Translation_ Ribosome"
"5"	"K06147"	39.3786053330375	21.329208160253	2.96181916133934	7.20138772773957	5.96027933895862e-13	2.10593795169537e-11	"K06147"	NA	NA	NA	"K06147_NA_NA_NA"
"6"	"K00059"	15.8069502172526	20.392580161803	2.96374562880684	6.88067827535277	5.95682463086313e-12	2.57592416469757e-11	"K00059"	"Metabolism"	"Overview"	" Fatty acid metabolism"	"K00059_Metabolism_Overview_ Fatty acid metabolism"
"7"	"K00761"	16.7076102535614	20.4693987474247	2.9635726044544	6.90700093416243	4.95006676826074e-12	2.57592416469757e-11	"K00761"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"	"K00761_Metabolism_Nucleotide metabolism_ Pyrimidine metabolism"
"8"	"K00790"	18.2632604782279	20.5810635689926	2.96331381060572	6.94528655565698	3.77692876956058e-12	2.57592416469757e-11	"K00790"	"Metabolism"	"Carbohydrate metabolism"	" Amino sugar and nucleotide sugar metabolism"	"K00790_Metabolism_Carbohydrate metabolism_ Amino sugar and nucleotide sugar metabolism"
"9"	"K00948"	16.1009225586547	20.4178361266464	2.96368702711729	6.88933613429026	5.60533506027481e-12	2.57592416469757e-11	"K00948"	"Metabolism"	"Overview"	" Carbon metabolism"	"K00948_Metabolism_Overview_ Carbon metabolism"
"10"	"K01867"	16.3536069968164	20.4405480487062	2.96363835453595	6.8971128064331	5.30700403964929e-12	2.57592416469757e-11	"K01867"	"Genetic Information Processing"	"Translation"	" Aminoacyl-tRNA biosynthesis"	"K01867_Genetic Information Processing_Translation_ Aminoacyl-tRNA biosynthesis"
"11"	"K01923"	16.656337281775	20.4656952789472	2.96358201444455	6.90572934347591	4.99461452593664e-12	2.57592416469757e-11	"K01923"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	"K01923_Metabolism_Nucleotide metabolism_ Purine metabolism"
"12"	"K01951"	16.4467564986895	20.4467667389622	2.96362078169645	6.89925204508045	5.22770482301545e-12	2.57592416469757e-11	"K01951"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	"K01951_Metabolism_Nucleotide metabolism_ Purine metabolism"
"13"	"K01992"	44.1155071441106	20.8631951625167	2.96167959749056	7.04437954064785	1.86289726652535e-12	2.57592416469757e-11	"K01992"	NA	NA	NA	"K01992_NA_NA_NA"
"14"	"K02004"	22.3548110459897	20.8755497783661	2.96280442475946	7.04587505132435	1.84299581390088e-12	2.57592416469757e-11	"K02004"	NA	NA	NA	"K02004_NA_NA_NA"
"15"	"K02013"	18.4796070212078	20.6079722449719	2.96328126452957	6.95444353921074	3.53956360272205e-12	2.57592416469757e-11	"K02013"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"	"K02013_Environmental Information Processing_Membrane transport_ ABC transporters"
"16"	"K02015"	22.6479677737315	20.8867150465267	2.96277490732458	7.04971376492034	1.79286208833459e-12	2.57592416469757e-11	"K02015"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"	"K02015_Environmental Information Processing_Membrane transport_ ABC transporters"
"17"	"K02357"	18.3165689074967	20.5993939383735	2.96330570201292	6.9514913444066	3.614445916201e-12	2.57592416469757e-11	"K02357"	NA	NA	NA	"K02357_NA_NA_NA"
"18"	"K02529"	16.6246800882156	20.4609831747052	2.96358781431798	6.90412582878499	5.05135116429462e-12	2.57592416469757e-11	"K02529"	NA	NA	NA	"K02529_NA_NA_NA"
"19"	"K02834"	15.9418061443555	20.4039616774687	2.96371840604682	6.88458175913029	5.79575598329006e-12	2.57592416469757e-11	"K02834"	NA	NA	NA	"K02834_NA_NA_NA"
"20"	"K02863"	18.7626654575039	20.4038969413718	2.9632393513433	6.88567291471825	5.75150046151014e-12	2.57592416469757e-11	"K02863"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02863_Genetic Information Processing_Translation_ Ribosome"
"21"	"K02881"	15.8659598346088	20.3991580117078	2.96373395767045	6.88292481817155	5.86359778208891e-12	2.57592416469757e-11	"K02881"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02881_Genetic Information Processing_Translation_ Ribosome"
"22"	"K02890"	17.4632958657082	20.5329648748824	2.96344113456811	6.92875746218421	4.24552947019203e-12	2.57592416469757e-11	"K02890"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02890_Genetic Information Processing_Translation_ Ribosome"
"23"	"K02909"	18.7029674707075	20.6217703712541	2.96324836578589	6.95917716832518	3.42265867412899e-12	2.57592416469757e-11	"K02909"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02909_Genetic Information Processing_Translation_ Ribosome"
"24"	"K02926"	16.7055115871525	20.4707275278175	2.9635730184222	6.90744834042119	4.93448555645447e-12	2.57592416469757e-11	"K02926"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02926_Genetic Information Processing_Translation_ Ribosome"
"25"	"K02948"	22.6367276802319	20.8913743251765	2.96277596122084	7.0512838630458	1.77274426568258e-12	2.57592416469757e-11	"K02948"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02948_Genetic Information Processing_Translation_ Ribosome"
"26"	"K02952"	21.1064661366788	20.7927688007252	2.96293883212029	7.01761662283316	2.25684767480316e-12	2.57592416469757e-11	"K02952"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02952_Genetic Information Processing_Translation_ Ribosome"
"27"	"K02967"	17.5289643470285	20.5346927478056	2.96343023488226	6.92936601175682	4.22730791383652e-12	2.57592416469757e-11	"K02967"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02967_Genetic Information Processing_Translation_ Ribosome"
"28"	"K02970"	16.0691448610282	20.4163851650876	2.96369300056687	6.88883266963973	5.62520576511463e-12	2.57592416469757e-11	"K02970"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02970_Genetic Information Processing_Translation_ Ribosome"
"29"	"K02982"	21.0567743782396	20.7709333041844	2.96294453199649	7.01023359697811	2.37920553854112e-12	2.57592416469757e-11	"K02982"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02982_Genetic Information Processing_Translation_ Ribosome"
"30"	"K02986"	19.9744173143477	20.563507251366	2.96307528965873	6.93992060314282	3.92320371835177e-12	2.57592416469757e-11	"K02986"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02986_Genetic Information Processing_Translation_ Ribosome"
"31"	"K02988"	16.8442534915215	20.4806886116555	2.96354791240738	6.91086805983792	4.81696920031828e-12	2.57592416469757e-11	"K02988"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02988_Genetic Information Processing_Translation_ Ribosome"
"32"	"K02992"	20.4007988845483	20.7486709679986	2.96302218758592	7.00253648282776	2.51369398309622e-12	2.57592416469757e-11	"K02992"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02992_Genetic Information Processing_Translation_ Ribosome"
"33"	"K03040"	18.0659906874185	20.574718318909	2.96334402206194	6.9430745015534	3.8365695351398e-12	2.57592416469757e-11	"K03040"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	"K03040_Metabolism_Nucleotide metabolism_ Purine metabolism"
"34"	"K03574"	16.4826685907146	20.4489857685128	2.9636140983179	6.90001636181961	5.19965501377382e-12	2.57592416469757e-11	"K03574"	NA	NA	NA	"K03574_NA_NA_NA"
"35"	"K04567"	17.0607701393584	20.5003560113606	2.96350977826165	6.91759351082209	4.59380155016399e-12	2.57592416469757e-11	"K04567"	"Genetic Information Processing"	"Translation"	" Aminoacyl-tRNA biosynthesis"	"K04567_Genetic Information Processing_Translation_ Aminoacyl-tRNA biosynthesis"
"36"	"K06180"	18.2071933114122	20.5902198865024	2.96332245409418	6.94835617975174	3.69566990892767e-12	2.57592416469757e-11	"K06180"	NA	NA	NA	"K06180_NA_NA_NA"
"37"	"K09013"	16.5507205614128	20.4563729402126	2.96360140239973	6.90253855449263	5.10813520147346e-12	2.57592416469757e-11	"K09013"	NA	NA	NA	"K09013_NA_NA_NA"
"38"	"K01756"	15.1452729944596	20.3359815556496	2.96388582108904	6.86125673632644	6.82573622130723e-12	2.6002804652599e-11	"K01756"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	"K01756_Metabolism_Nucleotide metabolism_ Purine metabolism"
"39"	"K01866"	15.3629032738789	20.3513831775143	2.96383837311157	6.86656308999349	6.5767097693677e-12	2.6002804652599e-11	"K01866"	"Genetic Information Processing"	"Translation"	" Aminoacyl-tRNA biosynthesis"	"K01866_Genetic Information Processing_Translation_ Aminoacyl-tRNA biosynthesis"
"40"	"K02895"	15.4847669777566	20.3667211746681	2.96381250851624	6.8717981033369	6.33976410277011e-12	2.6002804652599e-11	"K02895"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02895_Genetic Information Processing_Translation_ Ribosome"
"41"	"K02946"	15.6712290756996	20.3455522575942	2.96377340828235	6.86474620520517	6.66095674060757e-12	2.6002804652599e-11	"K02946"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02946_Genetic Information Processing_Translation_ Ribosome"
"42"	"K16787"	15.7765410379867	20.3368946664166	2.96375196982788	6.86187470255739	6.79626639302333e-12	2.6002804652599e-11	"K16787"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"	"K16787_Environmental Information Processing_Membrane transport_ ABC transporters"
"43"	"K03086"	15.0693494544661	20.3216235834971	2.96390261055633	6.85637359038686	7.06305219093263e-12	2.62811244313772e-11	"K03086"	NA	NA	NA	"K03086_NA_NA_NA"
"44"	"K00088"	14.7917375899864	20.2616152735944	2.96396582456666	6.83598140898154	8.14455060979427e-12	2.72067604317805e-11	"K00088"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	"K00088_Metabolism_Nucleotide metabolism_ Purine metabolism"
"45"	"K00820"	13.8664121526287	20.2137560185443	2.96419442120561	6.81930843467509	9.14798078592893e-12	2.72067604317805e-11	"K00820"	"Metabolism"	"Carbohydrate metabolism"	" Amino sugar and nucleotide sugar metabolism"	"K00820_Metabolism_Carbohydrate metabolism_ Amino sugar and nucleotide sugar metabolism"
"46"	"K00925"	15.6556487607987	20.1333815121466	2.96377836731614	6.79314679335435	1.09713641649829e-11	2.72067604317805e-11	"K00925"	"Metabolism"	"Overview"	" Carbon metabolism"	"K00925_Metabolism_Overview_ Carbon metabolism"
"47"	"K00927"	13.3330027535756	20.1387304775932	2.96434061454357	6.79366277235115	1.09321763140292e-11	2.72067604317805e-11	"K00927"	"Metabolism"	"Overview"	" Carbon metabolism"	"K00927_Metabolism_Overview_ Carbon metabolism"
"48"	"K01262"	13.2911335046562	20.1341226824641	2.96435256099313	6.79208099178281	1.10527464254108e-11	2.72067604317805e-11	"K01262"	NA	NA	NA	"K01262_NA_NA_NA"
"49"	"K01810"	13.9158839349141	20.2187201637529	2.96418148433304	6.82101290714397	9.04008183551737e-12	2.72067604317805e-11	"K01810"	"Metabolism"	"Overview"	" Carbon metabolism"	"K01810_Metabolism_Overview_ Carbon metabolism"
"50"	"K01892"	13.3424630878925	20.1394773247517	2.96433796718459	6.79392078356012	1.09126321978578e-11	2.72067604317805e-11	"K01892"	"Genetic Information Processing"	"Translation"	" Aminoacyl-tRNA biosynthesis"	"K01892_Genetic Information Processing_Translation_ Aminoacyl-tRNA biosynthesis"
"51"	"K01933"	14.046647787241	20.2318730737641	2.96414757559381	6.82552827003261	8.76023476991174e-12	2.72067604317805e-11	"K01933"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	"K01933_Metabolism_Nucleotide metabolism_ Purine metabolism"
"52"	"K02030"	17.1388144597699	20.130882853149	2.9634946615938	6.79295397897641	1.09860434267484e-11	2.72067604317805e-11	"K02030"	NA	NA	NA	"K02030_NA_NA_NA"
"53"	"K02428"	14.3322235546117	20.2559819312829	2.96407588807734	6.83382703282337	8.26787052872737e-12	2.72067604317805e-11	"K02428"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"	"K02428_Metabolism_Nucleotide metabolism_ Purine metabolism"
"54"	"K02600"	13.4150181036816	20.1565156104172	2.96431759710545	6.79971526333727	1.04826124759915e-11	2.72067604317805e-11	"K02600"	NA	NA	NA	"K02600_NA_NA_NA"
"55"	"K02887"	13.444796606986	20.1713033195965	2.96430881877005	6.80472398552793	1.01243155642107e-11	2.72067604317805e-11	"K02887"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02887_Genetic Information Processing_Translation_ Ribosome"
"56"	"K02916"	14.2152738661397	20.2473752353054	2.96410500098839	6.83085627147278	8.44092711034452e-12	2.72067604317805e-11	"K02916"	"Genetic Information Processing"	"Translation"	" Ribosome"	"K02916_Genetic Information Processing_Translation_ Ribosome"
"57"	"K03284"	13.4454063936435	20.1694292984782	2.96430862053741	6.8040922455711	1.01688368846254e-11	2.72067604317805e-11	"K03284"	NA	NA	NA	"K03284_NA_NA_NA"
"58"	"K03439"	13.432031641082	20.1691998476725	2.96431250405532	6.80400592720239	1.01749349705311e-11	2.72067604317805e-11	"K03439"	NA	NA	NA	"K03439_NA_NA_NA"
"59"	"K03499"	13.3459735464825	20.1603372714777	2.96433741765239	6.80095901074706	1.03924990633315e-11	2.72067604317805e-11	"K03499"	NA	NA	NA	"K03499_NA_NA_NA"
"60"	"K03977"	14.6976451024021	20.2294102706233	2.96398772453743	6.82506546945309	8.78852262202562e-12	2.72067604317805e-11	"K03977"	NA	NA	NA	"K03977_NA_NA_NA"
"61"	"K04043"	14.6062187482617	20.2857534300853	2.96400934124106	6.84402479703099	7.69985841226919e-12	2.72067604317805e-11	"K04043"	"Genetic Information Processing"	"Folding, sorting and degradation"	" RNA degradation"	"K04043_Genetic Information Processing_Folding, sorting and degradation_ RNA degradation"
"62"	"K09014"	14.0018851475565	20.227475210003	2.96415904498628	6.82401817952945	8.85286716263482e-12	2.72067604317805e-11	"K09014"	NA	NA	NA	"K09014_NA_NA_NA"
"63"	"K09903"	13.6357972016586	20.1904958077884	2.96425628507898	6.81131922007563	9.67077703321215e-12	2.72067604317805e-11	"K09903"	"Metabolism"	"Nucleotide metabolism"	" Pyrimidine metabolism"	"K09903_Metabolism_Nucleotide metabolism_ Pyrimidine metabolism"
"64"	"K16785"	13.6691282126682	20.193257583153	2.96424720353592	6.81227178322557	9.60693871387797e-12	2.72067604317805e-11	"K16785"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"	"K16785_Environmental Information Processing_Membrane transport_ ABC transporters"
