""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"
"K00001"	0.221949765147188	0.900503494708197	3.0469736878989	0.295540292416886	0.767581177240925	NA	"K00001"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"
"K00003"	118.561567480718	6.26246621208238	1.97600415928493	3.16925760639523	0.00152828874631233	0.0100695660387869	"K00003"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K00004"	17.4455681636494	2.96198779489734	2.32623118961991	1.27329897738209	0.202911969469738	0.283835195389217	"K00004"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"
"K00005"	18.0418928032759	5.06322399158501	1.9510697982798	2.59510141361888	0.00945630125683278	0.027901995838315	"K00005"	"Metabolism"	"Carbohydrate metabolism"	" Propanoate metabolism"
"K00006"	1.27885233650776	-2.09252668599746	3.01201919466588	-0.694725548131702	0.487227314104774	NA	"K00006"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"
"K00008"	1.22922277511287	-1.99892462989206	3.01461899457897	-0.663077036762063	0.507281216729927	NA	"K00008"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"
"K00009"	0.102435231259406	-0.159333948174021	3.04914612274782	-0.0522552681176307	0.95832529545952	NA	"K00009"	"Metabolism"	"Carbohydrate metabolism"	" Fructose and mannose metabolism"
"K00010"	0.0665849295441564	0.472392491801971	3.0486808871621	0.15494979936772	0.876860893494893	NA	"K00010"	"Metabolism"	"Carbohydrate metabolism"	" Inositol phosphate metabolism"
"K00012"	1.71623638275338	-1.7966701837831	2.91697321706759	-0.615936469101105	0.537936450844364	NA	"K00012"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"
"K00013"	5.42183606129272	4.14537898322361	2.111076165885	1.96363307502257	0.0495726588694265	0.0907598047227215	"K00013"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K00014"	63.6257657089032	6.91167453608464	2.06077069315356	3.35392703275872	0.000796733697593391	0.00726295352187778	"K00014"	"Metabolism"	"Overview"	" Biosynthesis of amino acids"
"K00015"	0	NA	NA	NA	NA	NA	"K00015"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"
"K00016"	399.974046785048	5.9429613033134	1.92540013583908	3.08661103356757	0.00202452320708872	0.0117957757107235	"K00016"	"Metabolism"	"Carbohydrate metabolism"	" Glycolysis / Gluconeogenesis"
"K00018"	0.244144741661907	0.953716601338183	3.04634689063898	0.313068943090108	0.754228283726403	NA	"K00018"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00019"	0.155364835603032	0.73208875271567	3.04830681330159	0.240162423782648	0.810204342745455	NA	"K00019"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"
"K00020"	8.09763564250695	-2.16857617225253	2.26346779715442	-0.958076883169627	0.33802399127054	0.434470216674076	"K00020"	"Metabolism"	"Amino acid metabolism"	" Valine, leucine and isoleucine degradation"
"K00021"	0.722114729293767	-0.754995639635137	2.90837894963786	-0.259593282962369	0.795177518170984	NA	"K00021"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Terpenoid backbone biosynthesis"
"K00023"	1.44516177228255	-0.365100148398619	2.96956620396096	-0.122947300488411	0.902148829355968	NA	"K00023"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00024"	9.38900708844095	3.06372404481119	1.95487902021223	1.56721925660575	0.117063450864602	0.181767958569419	"K00024"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00026"	9.97904609521533	-4.98056716707644	2.51571925883088	-1.979778605897	0.0477284113688173	0.0878551697520005	"K00026"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00027"	34.7281984788407	3.89428759984669	1.67327701259328	2.32734183912037	0.0199470786202887	0.045881534836227	"K00027"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00029"	3.96909056597549	-0.726065471447885	2.29026833740314	-0.317022009862454	0.751226901542669	NA	"K00029"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00030"	1.00504519801044	-1.43851268723	2.79387457420191	-0.514880911445684	0.606636240543312	NA	"K00030"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00031"	40.0957316809215	2.58316657412143	1.67574847826438	1.54150017596727	0.123195100136187	0.188604876429993	"K00031"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00033"	0.409740925037623	-0.556878991204647	3.04683682623093	-0.182772830632197	0.854976267497702	NA	"K00033"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00034"	0	NA	NA	NA	NA	NA	"K00034"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00036"	37.4302235955638	2.38389884975658	1.36079413139824	1.75184386436697	0.079800659333336	0.133735253268255	"K00036"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00038"	0	NA	NA	NA	NA	NA	"K00038"	"Metabolism"	"Lipid metabolism"	" Steroid hormone biosynthesis"
"K00040"	9.13324072662693	1.56485970523009	2.75306872389044	0.568405609220951	0.569759582525536	0.665584930705059	"K00040"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"
"K00041"	2.44481685226669	3.06441162359302	2.63709063719082	1.16204258601343	0.24521816698638	NA	"K00041"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"
"K00042"	0.81300794889813	-0.791046091383669	2.84831382723122	-0.277724344775809	0.781223971057403	NA	"K00042"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"
"K00046"	2.5339637655152	1.44832170793959	2.94000091768005	0.492626277505539	0.622276677294005	NA	"K00046"	NA	NA	NA
"K00048"	0.102435231259406	-0.159333948174021	3.04914612274782	-0.0522552681176307	0.95832529545952	NA	"K00048"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"
"K00050"	0	NA	NA	NA	NA	NA	"K00050"	"Metabolism"	"Carbohydrate metabolism"	" Glyoxylate and dicarboxylate metabolism"
"K00052"	98.4165843751936	4.87853912439219	1.83855956699692	2.65345720202078	0.00796718733540058	0.0249638536509218	"K00052"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"
"K00053"	279.851427983965	4.13304609782449	1.63302541319786	2.53091352064815	0.0113765894099596	0.0314529236628296	"K00053"	"Metabolism"	"Overview"	" -Oxocarboxylic acid metabolism"
"K00054"	0	0	0	0	1	NA	"K00054"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Terpenoid backbone biosynthesis"
"K00055"	0.0443899530294376	0.392076606020678	3.04881020391952	0.128599873326529	0.897674266547127	NA	"K00055"	"Metabolism"	"Overview"	" Degradation of aromatic compounds"
"K00057"	116.973596940823	6.54472274675736	2.27559866445152	2.87604437856128	0.00402693090635487	0.0171539957038077	"K00057"	"Metabolism"	"Lipid metabolism"	" Glycerophospholipid metabolism"
"K00058"	27.2577465118391	3.22241238288806	1.39315581227919	2.31303085734268	0.0207209426485039	0.0471234340877266	"K00058"	"Metabolism"	"Overview"	" Carbon metabolism"
"K00059"	32.772949419442	3.33376210018585	1.52904264035451	2.18029374211102	0.0292356946473455	0.0611607261910343	"K00059"	"Metabolism"	"Overview"	" Fatty acid metabolism"
"K00060"	11.8257156761633	3.49199369949481	1.66487351427621	2.09745285125335	0.0359535067396682	0.0714006260604678	"K00060"	"Metabolism"	"Amino acid metabolism"	" Glycine, serine and threonine metabolism"
"K00062"	0.204870462518811	-0.487888561715543	3.04778277529214	-0.160079834321125	0.872818186192335	NA	"K00062"	NA	NA	NA
"K00063"	0.639426168253881	-1.26404600483342	3.03910401065663	-0.41592719446292	0.677463279314405	NA	"K00063"	NA	NA	NA
"K00064"	0.106571028042313	-0.159333948174021	3.04914612274782	-0.0522552681176307	0.95832529545952	NA	"K00064"	"Metabolism"	"Carbohydrate metabolism"	" Fructose and mannose metabolism"
"K00065"	0.804669420330976	-1.45160497227007	3.03353905466049	-0.47851863652124	0.632281113035369	NA	"K00065"	"Metabolism"	"Carbohydrate metabolism"	" Pentose and glucuronate interconversions"
"K00067"	16.1819967509303	5.67281992840919	2.60835563985248	2.17486444016124	0.0296402763677891	0.0616452251589484	"K00067"	"Metabolism"	"Metabolism of terpenoids and polyketides"	" Polyketide sugar unit biosynthesis"
"K00068"	1.41945794478974	-0.181021413573232	2.52335170758866	-0.071738479035179	0.942810033194412	NA	"K00068"	"Metabolism"	"Carbohydrate metabolism"	" Fructose and mannose metabolism"
"K00073"	0.409740925037623	-0.929954821683545	3.04234422005441	-0.305670481187995	0.759855550804904	NA	"K00073"	"Metabolism"	"Nucleotide metabolism"	" Purine metabolism"
"K00074"	25.2197282211667	2.50346865588299	2.57179180314974	0.973433639852541	0.330337826534043	0.427317738911009	"K00074"	"Metabolism"	"Carbohydrate metabolism"	" Butanoate metabolism"
"K00075"	61.9147272062305	3.47489156763918	1.78896897964756	1.94239900589207	0.052088815563491	0.0945241054627057	"K00075"	"Metabolism"	"Carbohydrate metabolism"	" Amino sugar and nucleotide sugar metabolism"
"K00076"	0.512176156297029	-1.09375478648152	3.0406716881438	-0.35970828114929	0.71906529856057	NA	"K00076"	"Metabolism"	"Lipid metabolism"	" Secondary bile acid biosynthesis"
"K00077"	33.7336373799179	3.55144664204237	1.55865112620326	2.27853852753656	0.0226945117386053	0.0505517560054242	"K00077"	"Metabolism"	"Metabolism of cofactors and vitamins"	" Pantothenate and CoA biosynthesis"
"K00083"	0.819481850075246	-1.53555003355127	3.03017371350424	-0.506753136530738	0.612328041979826	NA	"K00083"	"Metabolism"	"Biosynthesis of other secondary metabolites"	" Phenylpropanoid biosynthesis"
