""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"KO_Number"	"KO_Class"	"KO_Subclass_1"	"KO_Subclass_2"	"path"
"1"	"K01364|metabolism; enzyme families; peptidases"	3.56930378106348	1.48357490825661	2.90569120697577	0.510575557614296	0.609648294676004	0.686097162368271	"K01364"	"Cellular Processes"	"Cellular community - prokaryotes"	" Quorum sensing"	"K01364_Cellular Processes_Cellular community - prokaryotes_ Quorum sensing"
"2"	"K01361|genetic information processing; folding; sorting and degradation; chaperones and folding catalysts|metabolism; enzyme families; peptidases"	1729.33956224763	3.57074817667884	0.687690640130528	5.19237571126617	2.07627474602614e-07	1.36239929782961e-06	"K01361"	NA	NA	NA	"K01361_NA_NA_NA"
"3"	"K01360|none"	6.34272758760223	8.13591089442311	2.96931817796283	2.7399929569033	0.00614405009712701	0.0138575795579078	"K01360"	NA	NA	NA	"K01360_NA_NA_NA"
"4"	"K01362|unclassified; metabolism; amino acid metabolism"	16462.7779796014	0.50155681269873	0.243926277623777	2.05618196442251	0.0397649800465319	0.0693938925386712	"K01362"	NA	NA	NA	"K01362_NA_NA_NA"
"5"	"K02249|environmental information processing; membrane transport; secretion system"	41.2977754532852	-2.81215948722035	2.89214756237996	-0.972343017278901	0.330879929943404	0.420623141939487	"K02249"	NA	NA	NA	"K02249_NA_NA_NA"
"6"	"K05841|metabolism; glycan biosynthesis and metabolism; glycosyltransferases"	106.399198163495	-2.22930206810008	1.0164749627569	-2.19316967931381	0.0282951562266296	0.0519364469534344	"K05841"	NA	NA	NA	"K05841_NA_NA_NA"
"7"	"K05844|genetic information processing; translation; ribosome biogenesis"	2009.67272900815	-0.994895194444846	0.363527285632857	-2.73678272241066	0.006204325657554	0.013983022240223	"K05844"	NA	NA	NA	"K05844_NA_NA_NA"
"8"	"K05845|environmental information processing; membrane transport; abc transporters|environmental information processing; membrane transport; transporters"	3023.56411391787	0.777141765943978	0.298593586357228	2.60267400725155	0.00924998615142474	0.0200856842145223	"K05845"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"	"K05845_Environmental Information Processing_Membrane transport_ ABC transporters"
"9"	"K05846|environmental information processing; membrane transport; abc transporters|environmental information processing; membrane transport; transporters"	8871.39598368214	1.31578498772976	0.242618632041042	5.42326439095235	5.85203348001295e-08	4.30583443798992e-07	"K05846"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"	"K05846_Environmental Information Processing_Membrane transport_ ABC transporters"
"10"	"K05847|environmental information processing; membrane transport; abc transporters|environmental information processing; membrane transport; transporters"	5211.8901626114	1.5941045100269	0.274576153177184	5.80569176012247	6.41007934769121e-09	5.77869615668739e-08	"K05847"	"Environmental Information Processing"	"Membrane transport"	" ABC transporters"	"K05847_Environmental Information Processing_Membrane transport_ ABC transporters"
